epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,208.03,1.82765,2.81669,2.09968,0,0,0,0,3.92076,inf,227.486,0.000541419,0.000541419,0.000541419
2,458.204,1.78813,2.24766,1.96811,0.00645,0.5914,0.00716,0.00204,2.9312,inf,8.63367,0.00107536,0.00107536,0.00107536
3,686.404,1.72035,2.04407,1.88541,0.09912,0.04946,0.04251,0.00795,3.36831,7.25107,4.66576,0.0015873,0.0015873,0.0015873
4,871.295,1.69282,1.93637,1.86004,0.35488,0.59032,0.36741,0.16424,1.89905,5.30982,2.39191,0.00156798,0.00156798,0.00156798
5,1078.86,1.62037,1.88811,1.81322,0.39618,0.72204,0.44681,0.24298,1.49168,3.16364,2.10185,0.00153497,0.00153497,0.00153497
6,1282.2,1.55558,1.79338,1.7123,0.35153,0.89293,0.47586,0.24994,1.55351,1.79698,2.0187,0.00150197,0.00150197,0.00150197
7,1468.05,1.54172,1.73232,1.70553,0.35417,0.47473,0.39983,0.19676,1.67343,2.09214,2.08791,0.00146896,0.00146896,0.00146896
8,1655.55,1.48257,1.59249,1.64685,0.47369,0.73933,0.5485,0.28931,1.4834,1.81695,1.87322,0.00143595,0.00143595,0.00143595
9,1852.26,1.45893,1.67981,1.66061,0.4434,0.79968,0.66632,0.38494,1.43194,1.53926,1.90752,0.00140295,0.00140295,0.00140295
10,2034.59,1.39645,1.60519,1.59421,0.58406,0.75699,0.69717,0.42216,1.34484,1.37705,1.78123,0.00136994,0.00136994,0.00136994
11,2245.12,1.37363,1.49717,1.57683,0.49912,0.74992,0.65408,0.37857,1.38857,1.55396,1.88058,0.00133693,0.00133693,0.00133693
12,2445.11,1.41073,1.50485,1.61574,0.44045,0.84319,0.60394,0.36919,1.40818,1.70684,1.80559,0.00130393,0.00130393,0.00130393
13,2604.01,1.43696,1.47248,1.62356,0.57807,0.7248,0.6847,0.42131,1.36238,1.3353,1.82959,0.00127092,0.00127092,0.00127092
14,2814.34,1.33739,1.43485,1.55559,0.56894,0.83175,0.6914,0.42863,1.36336,1.49414,1.79902,0.00123791,0.00123791,0.00123791
15,3027.59,1.39772,1.43666,1.59131,0.46771,0.78925,0.63103,0.38755,1.31954,1.49121,1.75921,0.00120491,0.00120491,0.00120491
16,3231.14,1.34401,1.36068,1.54437,0.73374,0.6871,0.75463,0.47602,1.27907,1.29696,1.70661,0.0011719,0.0011719,0.0011719
17,3421.17,1.32845,1.30646,1.54719,0.73348,0.72957,0.76169,0.48423,1.33981,1.09164,1.76246,0.00113889,0.00113889,0.00113889
18,3676.62,1.28769,1.27013,1.50527,0.61271,0.91935,0.78471,0.48894,1.37004,1.20996,1.79737,0.00110589,0.00110589,0.00110589
19,3866.64,1.26468,1.19062,1.50816,0.69706,0.72149,0.75903,0.49125,1.2798,1.14004,1.70171,0.00107288,0.00107288,0.00107288
20,4069.99,1.27146,1.16984,1.49018,0.7065,0.72732,0.76096,0.47426,1.28142,1.12614,1.67193,0.00103987,0.00103987,0.00103987
21,4226.37,1.27458,1.1644,1.50538,0.67996,0.82421,0.81127,0.51099,1.31815,1.04993,1.74145,0.00100687,0.00100687,0.00100687
22,4430.11,1.24669,1.14943,1.47823,0.76661,0.80288,0.8183,0.54085,1.27141,0.9952,1.7083,0.000973861,0.000973861,0.000973861
23,4673.57,1.21945,1.09172,1.45842,0.73423,0.77312,0.72854,0.48108,1.28237,1.14337,1.74522,0.000940855,0.000940855,0.000940855
24,4853.04,1.19617,1.0387,1.45565,0.66127,0.78763,0.71985,0.43545,1.34986,1.24471,1.81184,0.000907848,0.000907848,0.000907848
25,5052.77,1.21904,1.08409,1.46834,0.68931,0.82667,0.79264,0.49131,1.38274,1.02991,1.79935,0.000874842,0.000874842,0.000874842
26,5231.98,1.18004,1.04048,1.43667,0.76758,0.83656,0.80511,0.51694,1.29023,0.97492,1.71164,0.000841835,0.000841835,0.000841835
27,5457.66,1.1637,0.99477,1.41461,0.76713,0.77225,0.81561,0.52781,1.33489,0.99632,1.74329,0.000808828,0.000808828,0.000808828
28,5644.3,1.13631,0.92977,1.39667,0.69227,0.80555,0.77151,0.48863,1.34375,1.05532,1.75817,0.000775822,0.000775822,0.000775822
29,5814.58,1.07117,0.92104,1.36919,0.84945,0.79765,0.83358,0.54611,1.29854,0.94874,1.78771,0.000742815,0.000742815,0.000742815
30,6029.6,1.08681,0.89272,1.35638,0.74307,0.88548,0.85579,0.56424,1.2521,0.98546,1.73772,0.000709809,0.000709809,0.000709809
31,6237.99,1.08501,0.87718,1.36925,0.72448,0.89315,0.83563,0.5182,1.36118,1.0068,1.82359,0.000676802,0.000676802,0.000676802
32,6415.48,1.08794,0.87503,1.36504,0.74876,0.88275,0.8198,0.53253,1.33193,1.01153,1.83217,0.000643795,0.000643795,0.000643795
33,6600.35,1.05084,0.801,1.33043,0.73607,0.78548,0.80876,0.51781,1.38566,1.01532,1.86728,0.000610789,0.000610789,0.000610789
34,6812.02,1.0257,0.84633,1.33397,0.73282,0.8371,0.82063,0.52104,1.34838,1.03503,1.86803,0.000577782,0.000577782,0.000577782
35,7046.9,1.02813,0.79853,1.3204,0.77841,0.81989,0.80505,0.5024,1.36291,0.99748,1.85702,0.000544776,0.000544776,0.000544776
36,7266.46,1.02316,0.81416,1.31923,0.72394,0.83155,0.77859,0.51422,1.26984,1.07854,1.73904,0.000511769,0.000511769,0.000511769
37,7467.4,0.93616,0.76132,1.27551,0.69335,0.83495,0.79974,0.48274,1.36554,1.01441,1.84947,0.000478762,0.000478762,0.000478762
38,7697.13,0.97659,0.73742,1.29569,0.7367,0.81562,0.82654,0.53871,1.31659,0.95483,1.82058,0.000445756,0.000445756,0.000445756
39,7872.08,0.93882,0.70197,1.26391,0.79859,0.75411,0.82115,0.53945,1.29206,0.983,1.75703,0.000412749,0.000412749,0.000412749
40,8095.29,0.95526,0.70718,1.26398,0.74833,0.83751,0.83591,0.55942,1.26791,0.91456,1.77618,0.000379743,0.000379743,0.000379743
41,8272.08,0.77482,0.48433,1.2185,0.8209,0.7543,0.86117,0.55848,1.31286,0.93303,1.84123,0.000346736,0.000346736,0.000346736
42,8495.3,0.75288,0.44615,1.22876,0.82246,0.78763,0.85809,0.54171,1.32857,1.00746,1.85674,0.000313729,0.000313729,0.000313729
43,8686.04,0.74072,0.4257,1.21709,0.72884,0.85615,0.82507,0.5368,1.30102,0.99405,1.84006,0.000280723,0.000280723,0.000280723
44,8870.3,0.72633,0.42191,1.22029,0.73331,0.86847,0.83554,0.53652,1.32278,0.98843,1.88606,0.000247716,0.000247716,0.000247716
45,9054.83,0.70343,0.39566,1.18576,0.78837,0.80121,0.84168,0.53879,1.29182,1.00873,1.87312,0.00021471,0.00021471,0.00021471
46,9260.22,0.67384,0.37123,1.14474,0.81793,0.80021,0.84752,0.54877,1.29099,0.95653,1.87077,0.000181703,0.000181703,0.000181703
47,9447.53,0.64938,0.35989,1.13685,0.77271,0.85323,0.84152,0.5285,1.33308,0.99681,1.93255,0.000148696,0.000148696,0.000148696
48,9649.13,0.6053,0.34035,1.09457,0.76328,0.85077,0.82207,0.51452,1.32707,1.03075,1.96289,0.00011569,0.00011569,0.00011569
49,9810.55,0.60041,0.33083,1.09559,0.82378,0.78033,0.82429,0.53228,1.26494,0.98832,1.87883,8.26832e-05,8.26832e-05,8.26832e-05
50,10038,0.57256,0.33331,1.09946,0.82079,0.78528,0.81644,0.52308,1.27945,1.01189,1.90029,4.96766e-05,4.96766e-05,4.96766e-05
